"R","n","onTop","density","density2","indicator"
0.24000000000000002,2,0.010054114087803346,0.08755327671944199,0.007665576264311183,2.623185456940149
0.24000000000000002,3,0.000013183893683952683,0.005343331409580163,0.000028551190552605933,0.9235267201667959
0.24000000000000002,4,8.297361073509057e-8,0.0007758069837038772,6.01876475963708e-7,0.27571641042204054
0.24000000000000002,5,1.0038453933242535e-9,0.0001652424255136535,2.7305059189635322e-8,0.07352816094281175
0.24000000000000002,6,1.7565642392571962e-11,0.0000439969288355201,1.9357297469578198e-9,0.018148858248604186
0.25,2,0.010004969431511251,0.08740424957784071,0.007639502844265468,2.6192723886532487
0.25,3,0.000013170979796980567,0.005342445288081005,0.00002854172165613893,0.9229281930263427
0.25,4,8.294390609074675e-8,0.0007758125207147121,6.018850672977156e-7,0.2756137694631307
0.25,5,1.0036747613470442e-9,0.00016524842110946297,2.730704067917041e-8,0.07351032820723331
0.25,6,1.7563993607793925e-11,0.00004399861678178618,1.9358782787104766e-9,0.018145762366313257
0.26,2,0.00995407398112487,0.08724934023666181,0.0076124473717327735,2.615209930537513
0.26,3,0.000013157552246802407,0.005341522650920373,0.000028531864230295406,0.9223058220522158
0.26,4,8.291300030611793e-8,0.0007758182640719567,6.018939788676244e-7,0.2755069936473085
0.26,5,1.0034971956029052e-9,0.00016525466006785588,2.7309102674142603e-8,0.0734917736094682
0.26,6,1.7562277690043775e-11,0.00004400037349864715,1.9360328680204502e-9,0.01814254084229552
0.27,2,0.009901456947332108,0.08708857279061133,0.007584419510705608,2.6109992817132386
0.27,3,0.00001314361263072253,0.00534056345699188,0.000028521618038157056,0.9216596767503596
0.27,4,8.288089473195721e-8,0.0007758242114231483,6.0190320703035e-7,0.27539608948379657
0.27,5,1.003312699782375e-9,0.0001652611422262899,2.7311245129938018e-8,0.07347249786737585
0.27,6,1.7560494659028048e-11,0.00004400219897108627,1.9361935142910654e-9,0.01813919376282778
0.28,2,0.009847148419476063,0.08692197228306177,0.0075554292655773585,2.606641680662622
0.28,3,0.000013129162605799486,0.005339567663691494,0.000028510982835139842,0.9209898291978745
0.28,4,8.284759077109848e-8,0.0007758303603247493,6.019127480016304e-7,0.2752810637294363
0.28,5,1.0031212777195647e-9,0.00016526786741587407,2.731346800019093e-8,0.07345250172644151
0.28,6,1.7558644535222686e-11,0.000044004093183498645,1.936360216902032e-9,0.018135721217527004
0.29000000000000004,2,0.009791179336906583,0.08674956470594497,0.007525486976670933,2.6021384044007556
0.29000000000000004,3,0.000013114203888517755,0.005338535226930599,0.000028499958369178937,0.9202963540255562
0.29000000000000004,4,8.281308987835429e-8,0.0007758367082422842,6.019225978562232e-7,0.27516192338781487
0.29000000000000004,5,1.002922933392027e-9,0.00016527483546137204,2.73157712367836e-8,0.07343178595971578
0.29000000000000004,6,1.7556727339872645e-11,0.000044006056119691304,1.9365329752094205e-9,0.018132123299345344
0.3,2,0.00973358145963852,0.08657137699954325,0.007494603315597045,2.5974907676252674
0.3,3,0.000013098738254447936,0.005337466101149491,0.000028488544380919943,0.9195793283998568
0.3,4,8.277739356040996e-8,0.0007758432525504786,6.019327525281057e-7,0.27503867570836293
0.3,5,1.0027176709206166e-9,0.00016528204618120485,2.7318154789845934e-8,0.07341035136775223
0.3,6,1.755474309499148e-11,0.000044008087762883335,1.936711788545642e-9,0.01812840010456494
0.31,2,0.009674387338355628,0.0863874370521689,0.007462789280442445,2.592700121845612
0.31,3,0.000013082767537895508,0.0053363602393313725,0.000028476740603916782,0.9188388320042542
0.31,4,8.27405033757139e-8,0.0007758499905334071,6.01943207810688e-7,0.27491132818541886
0.31,5,1.0025054945693487e-9,0.0001652894993874544,2.732061860775529e-8,0.07338819877854269
0.31,6,1.7552691823360937e-11,0.00004401018809570591,1.9368966562194142e-9,0.01812455173279265
0.32,2,0.009613630283799664,0.0861977736997224,0.007430056190788554,2.587767854493
0.32,3,0.000013066293631538262,0.005335217593016788,0.00002846454676483585,0.918074947020054
0.32,4,8.270242093436417e-8,0.0007758569193846421,6.01953959357027e-7,0.27477988855726504
0.32,5,1.0022864087452505e-9,0.00016529719488586655,2.7323162637136146e-8,0.07336532904745059
0.32,6,1.7550573548530514e-11,0.000044012357100202407,1.937087577515737e-9,0.018120578286954535
0.33,2,0.009551344335584952,0.08600241672511898,0.007396415682561024,2.582695388011989
